timestamp,value_0
1769787300000,7312.000000000002
1769787600000,7242.599999999999
1769787900000,7120.999999999999
1769788200000,6990.2000000000035
1769788500000,6807.799999999992
1769788800000,6905.800000000003
1769789100000,6964.199999999998
1769789400000,6992.800000000009
1769789700000,6981.199999999998
1769790000000,6936.199999999997
1769790300000,6930.400000000001
1769790600000,6860.199999999999
1769790900000,6578.000000000003
1769791200000,6537.599999999997
1769791500000,6477.4000000000015
1769791800000,6203.000000000001
1769792100000,6107.999999999996
1769792400000,6064.600000000001
1769792700000,5923.399999999998
1769793000000,5981.800000000001
1769793300000,5963.400000000005
1769793600000,5781.199999999998
1769793900000,5725.199999999999
1769794200000,5524.199999999999
1769794500000,5412.200000000003
1769794800000,5386.599999999995
1769795100000,5157.400000000001
1769795400000,5020.799999999998
1769795700000,4813.4000000000015
1769796000000,4714.200000000003
1769796300000,4611.399999999997
1769796600000,4554.000000000002
1769796900000,4504.399999999999
1769797200000,4151.200000000007
1769797500000,4072.999999999996
1769797800000,3886.5999999999976
1769798100000,3768.3999999999965
1769798400000,3594.8000000000025
1769798700000,3446.9999999999955
1769799000000,3194.800000000009
1769799300000,3096.7999999999975
1769799600000,2990.600000000002
1769799900000,2821.399999999999
1769800200000,2819.9999999999955
1769800500000,2769.4000000000046
1769800800000,2525.3999999999946
1769801100000,2454.8000000000006
1769801400000,2492.999999999999
1769801700000,2363.000000000003
1769802000000,2290.200000000001
1769802300000,2081.400000000001
1769802600000,1835.1999999999975
1769802900000,1723.0000000000007
1769803200000,1612.1999999999966
1769803500000,1530.2000000000032
1769803800000,1529.3999999999992
1769804100000,1517.999999999999
1769804400000,1485.8000000000059
1769804700000,1456.5999999999935
1769805000000,1406.6000000000015
1769805300000,1264.0000000000039
1769805600000,1245.3999999999994
1769805900000,1120.799999999998
1769806200000,994.8000000000023
1769806500000,925.1999999999936
1769806800000,893.2000000000038
1769807100000,890.999999999997
1769807400000,947.4000000000038
1769807700000,841.5999999999945
1769808000000,830.2000000000057
1769808300000,825.5999999999955
1769808600000,815.4000000000083
1769808900000,732.1999999999974
1769809200000,730.3999999999968
1769809500000,728.0000000000044
1769809800000,656.199999999998
1769810100000,628.9999999999981
1769810400000,602.2000000000024
1769810700000,588.7999999999954
1769811000000,656.0000000000075
1769811300000,582.7999999999921
1769811600000,558.2000000000004
1769811900000,543.2000000000039
1769812200000,515.9999999999986
1769812500000,490.0000000000034
1769812800000,463.9999999999968
1769813100000,487.2000000000011
1769813400000,439.79999999999905
1769813700000,453.2000000000008
1769814000000,442.0000000000033
1769814300000,480.00000000000074
1769814600000,463.8000000000005
1769814900000,463.5999999999906
1769815200000,417.00000000001177
1769815500000,429.99999999999085
